Asperger综合征	zhengzhuang/aspergerzhz/
化学性支气管炎	zhengzhuang/hxxzqgy/
化妆品的毛发损害	zhengzhuang/hzpdmfsh/
怀孕时子宫异常增大	zhengzhuang/hyszgyczd/
踝部凹陷性水肿	zhengzhuang/hbaxxsz/
踝部及足背水肿	zhengzhuang/hbjzbsz/
踝关节屈曲挛缩畸形	zhengzhuang/hgjqqlsjx/
踝关节疼痛	zhengzhuang/hgjtt/
踝关节肿胀	zhengzhuang/hgjzz/
踝及足麻木和有灼痛感	zhengzhuang/hjzmmhyztg/
踝膝关节积液	zhengzhuang/hxgjjy/
踝阵挛	zhengzhuang/hzl/
坏疽脓皮	zhengzhuang/hjnp/
坏死性筋膜炎	zhengzhuang/hsxjmy/
环甲肌失去收缩或牵引感	zhengzhuang/hjjsqsshqyg/
环咽部运动障碍	zhengzhuang/hybydza/
环状肉芽肿	zhengzhuang/hzryz/
寰枢关节不稳定	zhengzhuang/hsgjbwd/
寰枢脱位	zhengzhuang/hstw/
缓脉	zhengzhuang/hm_1635/
幻觉	zhengzhuang/hj/
幻听	zhengzhuang/ht/
幻味	zhengzhuang/hw/
幻想失去时间和空间感觉	zhengzhuang/hxsqsjhkjgj/
幻肢痛	zhengzhuang/hzt/
慌张步态	zhengzhuang/hzbt/
黄白色黏痰有水果味	zhengzhuang/hbsntysgw/
黄斑回避现象	zhengzhuang/hbhbxx/
黄斑囊样水肿	zhengzhuang/hbnysz/
黄斑盘状变性	zhengzhuang/hbpzbx/
黄疸	zhengzhuang/hd/
黄韧带肥厚	zhengzhuang/hrdfh/
黄色蛋花样稀便	zhengzhuang/hsdhyxb/
黄色发亮结痂	zhengzhuang/hsfljj/
黄色结节	zhengzhuang/hsjj/
黄视	zhengzhuang/hs_1651/
黄素化囊肿	zhengzhuang/hshnz/
黄体破裂	zhengzhuang/htpl/
黄指甲	zhengzhuang/hzj/
灰白大便	zhengzhuang/hbdb/
灰白色结节	zhengzhuang/hbsjj/
回肠重复畸形	zhengzhuang/hczfjx/
回盲瓣功能不全	zhengzhuang/hmbgnbq/
回盲部结核	zhengzhuang/hmbjh/
回声阴影	zhengzhuang/hsyy/
回吸性涕血	zhengzhuang/hxxtx/
蛔虫感染	zhengzhuang/hcgr/
蛔虫性肠梗阻	zhengzhuang/hcxcgz/
会厌炎	zhengzhuang/hyy/
会阴部牵引痛	zhengzhuang/hybqyt/
会阴部撕裂感	zhengzhuang/hybslg/
会阴溃疡	zhengzhuang/hyky/
会阴瘘管或窦道形成	zhengzhuang/hylghddxc/
会阴痒	zhengzhuang/hyy_1669/
昏迷	zhengzhuang/hm_1670/
昏睡	zhengzhuang/hs_1671/
浑身忽冷忽热	zhengzhuang/hshlhr/
浑身酸痛	zhengzhuang/hsst/
混合型酸碱平衡紊乱	zhengzhuang/hhxsjphwl/
混浊尿	zhengzhuang/hzn/
活动后气促	zhengzhuang/hdhqc/
获得性肥胖	zhengzhuang/hdxfp/
霍纳综合征	zhengzhuang/hnzhz/
喜讲秽语	zhengzhuang/xjhy/
“鸡盲”或“雀盲”	zhengzhuang/_jm_h_qm_/
蹲踞现象	zhengzhuang/djxx/
发作间精神障碍	zhengzhuang/fzjjsza/
肛门区红肿及痛性硬块	zhengzhuang/gmqhzjtxyk/
肛门瘙痒	zhengzhuang/gmsy/
饥饿时上腹痛	zhengzhuang/jessft/
机械地重复周围人的言语或行为	zhengzhuang/jxdzfzwrdyyhxw/
机械性压迫	zhengzhuang/jxxyp/
肌腱端炎	zhengzhuang/jjdy/
肌腱断裂	zhengzhuang/jjdl/
肌腱拉伤	zhengzhuang/jjls/
肌腱囊肿	zhengzhuang/jjnz/
肌腱扭伤	zhengzhuang/jjns/
肌腱粘连	zhengzhuang/jjzl/
肌肉出血	zhengzhuang/jrcx/
肌肉挫伤	zhengzhuang/jrcs/
肌肉的失用性萎缩	zhengzhuang/jrdsyxws/
肌肉发育不良	zhengzhuang/jrfybl/
肌肉肥大	zhengzhuang/jrfd/
肌肉坏死	zhengzhuang/jrhs/
肌肉假肥大	zhengzhuang/jrjfd/
肌肉紧张性疼痛	zhengzhuang/jrjzxtt/
肌肉痉挛性疼痛	zhengzhuang/jrjlxtt/
肌肉拉伤	zhengzhuang/jrls/
肌肉挛缩	zhengzhuang/jrls_1705/
肌肉撕裂	zhengzhuang/jrsl/
肌肉酸痛	zhengzhuang/jrst/
肌肉跳动	zhengzhuang/jrtd/
肌肉完全断裂	zhengzhuang/jrwqdl/
肌肉萎缩	zhengzhuang/jrws/
肌肉纤维震颤	zhengzhuang/jrxwzc/
肌肉压痛	zhengzhuang/jryt/
肌肉硬结	zhengzhuang/jryj/
肌肉砸伤	zhengzhuang/jrzs/
肌肉撞伤	zhengzhuang/jrzs_1715/
肌束震颤	zhengzhuang/jszc/
肌体张力异常	zhengzhuang/jtzlyc/
肌痛	zhengzhuang/jt/
肌无力危象	zhengzhuang/jwlwx/
肌纤维颤搐	zhengzhuang/jxwcc/
肌纤维大小不等	zhengzhuang/jxwdxbd/
肌性肌无力	zhengzhuang/jxjwl/
肌张力过高	zhengzhuang/jzlgg/
肌张力减低	zhengzhuang/jzljd/
肌张力降低	zhengzhuang/jzljd_1725/
肌阵挛	zhengzhuang/jzl/
鸡眼	zhengzhuang/jy/
基底节出血	zhengzhuang/jdjcx/
基因融合	zhengzhuang/jyrh/
稽留流产	zhengzhuang/jllc/
稽留热	zhengzhuang/jlr/
极速型心率	zhengzhuang/jsxxl/
极重度精神发育迟滞	zhengzhuang/jzdjsfycz/
急腹症	zhengzhuang/jfz/
急性病容	zhengzhuang/jxbr/
急性肠扭转	zhengzhuang/jxcnz/
急性房颤	zhengzhuang/jxfc/
急性非化脓性一过性颈淋巴结肿胀	zhengzhuang/jxfhnxygxjlbjzz/
急性腹痛	zhengzhuang/jxft/
急性宫颈炎	zhengzhuang/jxgjy/
急性呼吸窘迫综合征	zhengzhuang/jxhxjpzhz/
急性呼吸困难	zhengzhuang/jxhxkn/
急性面容	zhengzhuang/jxmr/
急性尿潴留	zhengzhuang/jxnzl/
急性贫血	zhengzhuang/jxpx/
急性溶血性尿毒综合征	zhengzhuang/jxrxxndzhz/
急性肾衰竭	zhengzhuang/jxssj/
急性胃扩张	zhengzhuang/jxwkz/
急性胃痛	zhengzhuang/jxwt/
急性下肢缺血	zhengzhuang/jxxzqx/
急性阴道感染	zhengzhuang/jxydgr/
棘突压痛	zhengzhuang/jtyt/
集合管或乳头弥散性真菌浸润	zhengzhuang/jhghrtmsxzjjr/
挤压伤	zhengzhuang/jys/
脊肋角膨隆	zhengzhuang/jljpl/
脊神经根受损	zhengzhuang/jsjgss/
脊神经压迫	zhengzhuang/jsjyp/
脊髓半切综合征	zhengzhuang/jsbqzhz/
脊髓病变	zhengzhuang/jsbb/
脊髓出血	zhengzhuang/jscx/
脊髓的浸润	zhengzhuang/jsdjr/
脊髓梗死	zhengzhuang/jsgs/
脊髓横贯损害	zhengzhuang/jshgsh/
脊髓马尾受累	zhengzhuang/jsmwsl/
脊髓内胶质增生	zhengzhuang/jsnjzzs/
脊髓内空洞形成	zhengzhuang/jsnkdxc/
脊髓前角病变	zhengzhuang/jsqjbb/
脊髓丘脑束受压	zhengzhuang/jsqnssy/
脊髓缺血	zhengzhuang/jsqx/
脊髓受压	zhengzhuang/jssy/
脊髓性肌萎缩	zhengzhuang/jsxjws/
脊髓性间歇破行	zhengzhuang/jsxjxpx/
脊髓休克	zhengzhuang/jsxk/
脊髓压迫	zhengzhuang/jsyp/
脊突叩痛	zhengzhuang/jtkt/
脊柱病变性骨盆畸形	zhengzhuang/jzbbxgpjx/
脊柱侧弯	zhengzhuang/jzcw/
脊柱的成角畸形	zhengzhuang/jzdcjjx/
脊柱骨质改变	zhengzhuang/jzgzgb/
脊柱和四肢畸形	zhengzhuang/jzhszjx/
脊柱后突	zhengzhuang/jzht/
脊柱裂	zhengzhuang/jzl_1782/
脊柱破坏	zhengzhuang/jzph/
脊柱前突变直局部叩痛	zhengzhuang/jzqtbzjbkt/
脊柱生理弯曲消失	zhengzhuang/jzslwqxs/
脊柱退变	zhengzhuang/jztb/
脊柱弯曲	zhengzhuang/jzwq/
脊椎僵直	zhengzhuang/jzjz/
记忆力消失	zhengzhuang/jylxs/
记忆力障碍	zhengzhuang/jylza/
记忆受损	zhengzhuang/jyss/
技术狂躁症	zhengzhuang/jskzz/
季节性浅红斑片	zhengzhuang/jjxqhbp/
季节性情绪抑郁	zhengzhuang/jjxqxyy/
季节性手脱皮	zhengzhuang/jjxstp/
继发感染	zhengzhuang/jfgr/
继发性闭经	zhengzhuang/jfxbj/
继发性便秘	zhengzhuang/jfxbm/
继发性不孕	zhengzhuang/jfxby/
继发性癫痫	zhengzhuang/jfxdx/
继发性肥胖	zhengzhuang/jfxfp/
继发性高血压	zhengzhuang/jfxgxy/
继发性失眠	zhengzhuang/jfxsm/
继发性视神经萎缩	zhengzhuang/jfxssjws/
继发性痛经	zhengzhuang/jfxtj/
继发性纤溶功能增强	zhengzhuang/jfxxrgnzq/
寂静腹	zhengzhuang/jjf/
夹层血肿	zhengzhuang/jcxz/
颊部脂肪消失呈老年人面容	zhengzhuang/jbzfxsclnrmr/
甲亢面容	zhengzhuang/jkmr/
甲亢危象	zhengzhuang/jkwx/
甲身凹沟	zhengzhuang/jsag/
甲胎蛋白增高	zhengzhuang/jtdbzg/
甲下出血	zhengzhuang/jxcx/
甲营养不良	zhengzhuang/jyybl/
甲周炎	zhengzhuang/jzy/
甲皱毛细血管袢数减少	zhengzhuang/jzmxxgpsjs/
甲状旁腺功能亢进	zhengzhuang/jzpxgnkj/
甲状旁腺机能减退	zhengzhuang/jzpxjnjt/
甲状软骨下可触及异物撞击震动感	zhengzhuang/jzrgxkcjywzjzdg/
甲状腺功能低下	zhengzhuang/jzxgndx/
甲状腺机能亢进	zhengzhuang/jzxjnkj/
甲状腺扪及光滑坚实的椭圆形结节	zhengzhuang/jzxmjghjsdtyxjj/
甲状腺肿	zhengzhuang/jzxz/
甲状腺肿大	zhengzhuang/jzxzd/
假结核结节	zhengzhuang/jjhjj/
假菊形团结构	zhengzhuang/jjxtjg/
假临产	zhengzhuang/jlc/
假期综合症	zhengzhuang/jqzhz/
假日心脏综合征	zhengzhuang/jrxzzhz/
假声现象	zhengzhuang/jsxx/
假笑	zhengzhuang/jx/
假性宫缩	zhengzhuang/jxgs/
假性前房积脓	zhengzhuang/jxqfjn/
假性延髓性麻痹	zhengzhuang/jxysxmb/
假性幽门化生	zhengzhuang/jxymhs/
假牙疼痛	zhengzhuang/jytt/
假孕	zhengzhuang/jy_1838/
尖头并指	zhengzhuang/jtbz/
间歇热	zhengzhuang/jxr/
间歇性鼻阻塞	zhengzhuang/jxxbzs/
间歇性跛行	zhengzhuang/jxxbx/
间歇性耳痛	zhengzhuang/jxxet/
间歇性寒颤	zhengzhuang/jxxhc/
间歇性尿蛋白	zhengzhuang/jxxndb/
间歇性失忆	zhengzhuang/jxxsy/
间歇性头痛	zhengzhuang/jxxtt/
间歇性头晕	zhengzhuang/jxxty/
间歇性胃痛	zhengzhuang/jxxwt/
间歇性血尿	zhengzhuang/jxxxn/
肩膀酸疼	zhengzhuang/jbst/
肩背部沉重感	zhengzhuang/jbbczg/
肩背部肌肉痛	zhengzhuang/jbbjrt/
肩背痛	zhengzhuang/jbt/
肩臂外侧的感觉障碍和功能受限	zhengzhuang/jbwcdgjzahgnsx/
肩部或肩胛区持续钝痛和深部钻刺样不适感	zhengzhuang/jbhjjqcxdthsbzcybsg/
肩部牵涉痛	zhengzhuang/jbqst/
肩部运动受限	zhengzhuang/jbydsx/
肩带肌、上肢和胸背部诸肌的肌无力和肌萎缩	zhengzhuang/jdj_szhxbbzjdjwlhjws/
肩关节活动受限	zhengzhuang/jgjhdsx/
肩关节痛	zhengzhuang/jgjt/
肩胛带“模拟瘫痪”	zhengzhuang/jjd_mnth_/
肩胛带的肌肉不发达	zhengzhuang/jjddjrbfd/
肩胛带和上肢疼痛	zhengzhuang/jjdhsztt/
肩胛带肌肉萎缩	zhengzhuang/jjdjrws/
肩胛放射性疼痛	zhengzhuang/jjfsxtt/
肩胛骨酸痛	zhengzhuang/jjgst/
肩胛骨突出	zhengzhuang/jjgtc/
肩节后脱位	zhengzhuang/jjhtw/
肩痛	zhengzhuang/jt_1870/
肩周区弥散的钝痛及放射痛	zhengzhuang/jzqmsddtjfst/
肩周酸痛不适	zhengzhuang/jzstbs/
缄默症	zhengzhuang/jmz/
睑结膜的巨大乳头	zhengzhuang/jjmdjdrt/
睑结膜硬而扁平的乳头	zhengzhuang/jjmyebpdrt/
睑内翻	zhengzhuang/jnf/
睑外翻	zhengzhuang/jwf/
睑缘呈横“S”形下垂	zhengzhuang/jych_s_xxc/
碱烧伤	zhengzhuang/jss/
碱性磷酸酶增高	zhengzhuang/jxlsmzg/
健康线异常	zhengzhuang/jkxyc/
健忘	zhengzhuang/jw/
健忘性失语	zhengzhuang/jwxsy/
腱反射亢进	zhengzhuang/jfskj/
腱反射消失	zhengzhuang/jfsxs/
腱反射异常	zhengzhuang/jfsyc/
腱或腱止点处增粗或钙化	zhengzhuang/jhjzdczchgh/
腱鞘变干	zhengzhuang/jqbg/
腱索断裂	zhengzhuang/jsdl/
浆液脓性分泌物	zhengzhuang/jynxfmw/
讲话频率小，不能发高音	zhengzhuang/jhplx_bnfgy/
交叉腿	zhengzhuang/jct/
交叉注视	zhengzhuang/jczs/
交感神经代偿性亢进	zhengzhuang/jgsjdcxkj/
交感神经高度紧张	zhengzhuang/jgsjgdjz/
交替脉	zhengzhuang/jtm/
交替使用双眼	zhengzhuang/jtsysy/
交替性暴食厌食	zhengzhuang/jtxbsys/
胶冻状便	zhengzhuang/jdzb/
焦痂性烧伤	zhengzhuang/jjxss/
焦虑	zhengzhuang/jl/
焦虑性适应障碍	zhengzhuang/jlxsyza/
焦虑致胸口痛	zhengzhuang/jlzxkt/
角弓反张	zhengzhuang/jgfz/
角弓反张位	zhengzhuang/jgfzw/
巩膜葡萄肿	zhengzhuang/gmptz/
角回受损	zhengzhuang/jhss/
角结膜干燥症	zhengzhuang/jjmgzz/
角膜表面三角形胬肉	zhengzhuang/jmbmsjxnr/
角膜大小不等的透明水泡	zhengzhuang/jmdxbddtmsp/
角膜反射迟钝	zhengzhuang/jmfscd/
角膜干燥斑	zhengzhuang/jmgzb/
角膜后胚胎环	zhengzhuang/jmhpth/
角膜混浊	zhengzhuang/jmhz/
角膜晶状体粘连	zhengzhuang/jmjztzl/
角膜溃疡	zhengzhuang/jmky/
角膜瘘	zhengzhuang/jml/
角膜糜烂	zhengzhuang/jmml/
角膜色膜环	zhengzhuang/jmsmh/
角膜上点状暗灰色混浊	zhengzhuang/jmsdzahshz/
角膜上皮糜烂	zhengzhuang/jmspml/
角膜烧伤	zhengzhuang/jmss/
角膜树枝状改变	zhengzhuang/jmszzgb/
角膜外缘有棕绿色色素环	zhengzhuang/jmwyyzlsssh/
角膜炎	zhengzhuang/jmy/
角膜异物	zhengzhuang/jmyw/
角膜有菌苔或溃疡	zhengzhuang/jmyjthky/
角膜知觉减少	zhengzhuang/jmzjjs/
角膜中央后部典型碎银状外貌	zhengzhuang/jmzyhbdxsyzwm/
角膜灼伤刮伤	zhengzhuang/jmzsgs/
角栓	zhengzhuang/js/
角形甲弧影	zhengzhuang/jxjhy/
角质层过度增厚	zhengzhuang/jzcgdzh/
角质化	zhengzhuang/jzh/
角质增厚	zhengzhuang/jzzh/
脚臭	zhengzhuang/jc/
脚底干裂	zhengzhuang/jdgl/
脚冻伤	zhengzhuang/jds/
脚后跟长骨刺	zhengzhuang/jhgcgc/
脚气	zhengzhuang/jq/
脚上血泡	zhengzhuang/jsxp/
脚外侧疼	zhengzhuang/jwct/
脚趾甲内长	zhengzhuang/jzjnc/
脚趾皮肤黄泡后紫黑	zhengzhuang/jzpfhphzh/
疖肿	zhengzhuang/jz/
节段性分离性感觉障碍	zhengzhuang/jdxflxgjza/
节段性肌张力障碍	zhengzhuang/jdxjzlza/
节律性刻板重复的不自主运动	zhengzhuang/jlxkbzfdbzzyd/
结肠袋半月襞消失	zhengzhuang/jcdbybxs/
结肠粪性穿孔	zhengzhuang/jcfxck/
结肠梗阻	zhengzhuang/jcgz/
结肠黑变	zhengzhuang/jchb/
结肠内形成坚硬的粪石	zhengzhuang/jcnxcjydfs/
结肠膨胀	zhengzhuang/jcpz/
结肠憩室	zhengzhuang/jcqs/
结肠息肉	zhengzhuang/jcxr/
结肠血管发育不良	zhengzhuang/jcxgfybl/
结缔组织性外痔	zhengzhuang/jdzzxwz/
结核杆菌血行播散	zhengzhuang/jhgjxxbs/
结核中毒	zhengzhuang/jhzd/
结痂	zhengzhuang/jj/
结节	zhengzhuang/jj_1962/
结节性硬化	zhengzhuang/jjxyh/
结脉	zhengzhuang/jm/
结膜变浅或变苍白	zhengzhuang/jmbqhbcb/
结膜充血	zhengzhuang/jmcx/
结膜干燥斑	zhengzhuang/jmgzb_1967/
结膜乳头增生	zhengzhuang/jmrtzs/
结膜异物	zhengzhuang/jmyw_1969/
睫毛掉落	zhengzhuang/jmdl/
睫状充血	zhengzhuang/jzcx/
截瘫	zhengzhuang/jt_1972/
戒断反应	zhengzhuang/jdfy/
戒断性痫性发作	zhengzhuang/jdxxxfz/
疥疮	zhengzhuang/jc_1975/
疥疮结节	zhengzhuang/jcjj/
疥疮恐惧	zhengzhuang/jckj/
金鱼眼	zhengzhuang/jyy/
金属音调咳嗽	zhengzhuang/jsydks/
津亏血燥	zhengzhuang/jkxz/
筋膜疼痛	zhengzhuang/jmtt/
紧箍咒一样头紧	zhengzhuang/jgzyytj/
紧脉	zhengzhuang/jm_1983/
紧张	zhengzhuang/jz_1984/
紧张性木僵	zhengzhuang/jzxmj/
紧张性疲劳	zhengzhuang/jzxpl/
紧张性失眠	zhengzhuang/jzxsm/
紧张性手抖	zhengzhuang/jzxsd/
紧张性头痛	zhengzhuang/jzxtt/
紧张性头晕	zhengzhuang/jzxty/
近迫性昏迷	zhengzhuang/jpxhm/
近迫性心肌梗塞	zhengzhuang/jpxxjgs/
近曲小管受累	zhengzhuang/jqxgsl/
近事遗忘现象	zhengzhuang/jsywxx/
近视弧	zhengzhuang/jsh/
近视散光	zhengzhuang/jssg/
进食过硬的食物口腔损伤	zhengzhuang/jsgydswkqss/
进食后出现弥漫性腹部绞痛	zhengzhuang/jshcxmmxfbjt/
进食困难	zhengzhuang/jskn/
进食流泪	zhengzhuang/jsll/
进食呕吐	zhengzhuang/jsot/
进食样自动症	zhengzhuang/jsyzdz/
进食异常	zhengzhuang/jsyc/
进行性痴呆	zhengzhuang/jxxcd/
进行性肝缩小	zhengzhuang/jxxgsx/
进行性肌麻痹	zhengzhuang/jxxjmb/
进行性颈部肿块	zhengzhuang/jxxjbzk/
进行性肉芽性溃疡坏死	zhengzhuang/jxxryxkyhs/
进行性消瘦	zhengzhuang/jxxxs/
经常说梦话	zhengzhuang/jcsmh/
经络阻塞	zhengzhuang/jlzs/
经期便血	zhengzhuang/jqbx/
经期出血	zhengzhuang/jqcx/
经期浮肿	zhengzhuang/jqfz/
经期前后小腹坠痛	zhengzhuang/jqqhxfzt/
经期前乳房痛	zhengzhuang/jqqrft/
经期缩短	zhengzhuang/jqsd/
经期提前	zhengzhuang/jqtq/
经期头痛	zhengzhuang/jqtt/
经期推迟	zhengzhuang/jqtc/
经期小腹坠痛	zhengzhuang/jqxfzt/
经期肿胀	zhengzhuang/jqzz/
经前期膝痛	zhengzhuang/jqqxt/
经前综合症	zhengzhuang/jqzhz_2024/
惊厥	zhengzhuang/jj_2025/
惊恐发作	zhengzhuang/jkfz/
惊跳	zhengzhuang/jt_2027/
晶状体蛋白逸出	zhengzhuang/jztdbyc/
晶状体混浊	zhengzhuang/jzthz/
晶状体囊壁破裂	zhengzhuang/jztnbpl/
晶状体膨胀增大	zhengzhuang/jztpzzd/
晶状体青光眼斑	zhengzhuang/jztqgyb/
晶状体铁质沉着	zhengzhuang/jzttzcz/
晶状体突出	zhengzhuang/jzttc/
晶状体脱位或半脱位	zhengzhuang/jzttwhbtw/
晶状体移位	zhengzhuang/jztyw/
晶状体皱缩	zhengzhuang/jztzs/
精囊缩小	zhengzhuang/jnsx/
精囊增大	zhengzhuang/jnzd/
精神变态	zhengzhuang/jsbt/
精神创伤	zhengzhuang/jscs/
精神过敏	zhengzhuang/jsgm/
精神活性物质所致精神障碍	zhengzhuang/jshxwzszjsza/
精神萎靡	zhengzhuang/jswm/
精神依赖性	zhengzhuang/jsylx/
精神运动性活动变坏	zhengzhuang/jsydxhdbh/
精神运动性兴奋	zhengzhuang/jsydxxf/
精神障碍	zhengzhuang/jsza/
精索静脉曲张	zhengzhuang/jsjmqz/
精索增粗肿胀	zhengzhuang/jszczz/
精虚血弱	zhengzhuang/jxxr/
精血不足	zhengzhuang/jxbz/
精液稠	zhengzhuang/jyc/
精液带血	zhengzhuang/jydx/
精液发黄	zhengzhuang/jyfh/
精液量多	zhengzhuang/jyld/
精液少	zhengzhuang/jys_2057/
精液稀	zhengzhuang/jyx/
精子不液化	zhengzhuang/jzbyh/
精子存活率低	zhengzhuang/jzchld/
精子大头畸形	zhengzhuang/jzdtjx/
精子活力低	zhengzhuang/jzhld/
精子活力低	zhengzhuang/jzhld_2063/
精子凝集	zhengzhuang/jznj/
精子稀少	zhengzhuang/jzxs/
精子异常	zhengzhuang/jzyc/
精子质量下降	zhengzhuang/jzzlxj/
颈背部肌肉痉挛	zhengzhuang/jbbjrjl/
颈背疼痛	zhengzhuang/jbtt/
颈部搏动	zhengzhuang/jbbd/
颈部不稳感	zhengzhuang/jbbwg/
颈部潮红	zhengzhuang/jbch/
颈部呈僵直状	zhengzhuang/jbcjzz/
颈部粗	zhengzhuang/jbc/
颈部肌肉肿胀变硬	zhengzhuang/jbjrzzby/
颈部僵硬	zhengzhuang/jbjy/
颈部可前屈，怕仰伸	zhengzhuang/jbkqq_pys/
颈部淋巴结肿大	zhengzhuang/jblbjzd/
颈部囊性病变	zhengzhuang/jbnxbb/
颈部扭伤	zhengzhuang/jbns/
颈部怕前屈，怕仰伸	zhengzhuang/jbpqq_pys/
颈部强硬	zhengzhuang/jbqy/
颈部缺血性跳痛	zhengzhuang/jbqxxtt/
颈部烧伤	zhengzhuang/jbss/
颈部酸痛	zhengzhuang/jbst_2085/
颈部疼痛	zhengzhuang/jbtt_2086/
颈部有擦伤痕迹或肿胀	zhengzhuang/jbycshjhzz/
颈部皱纹多	zhengzhuang/jbzwd/
颈动脉搏动减弱或消失	zhengzhuang/jdmbdjrhxs/
颈动脉窦性晕厥	zhengzhuang/jdmdxyj/
颈动脉痛	zhengzhuang/jdmt/
颈短	zhengzhuang/jd/
颈根部斜方肌及风池穴处有压痛点	zhengzhuang/jgbxfjjfcxcyytd/
颈后及肩部皮肤发硬	zhengzhuang/jhjjbpffy/
颈肩疲劳和软组织疼痛	zhengzhuang/jjplhrzztt/
颈肩痛	zhengzhuang/jjt/
颈交感链受累	zhengzhuang/jjglsl/
颈静脉充盈	zhengzhuang/jjmcy/
颈静脉怒张	zhengzhuang/jjmnz/
颈内动脉创伤性血栓	zhengzhuang/jndmcsxxs/
颈强直	zhengzhuang/jqz/
颈软不能抬头	zhengzhuang/jrbntt/
颈髓脱髓鞘性病变	zhengzhuang/jstsqxbb/
颈髓完全性损伤	zhengzhuang/jswqxss/
颈髓硬膜外病变	zhengzhuang/jsymwbb/
颈性高血压	zhengzhuang/jxgxy/
颈性头痛	zhengzhuang/jxtt/
颈性眩晕	zhengzhuang/jxxy/
颈椎变形	zhengzhuang/jzbx/
颈椎肥大	zhengzhuang/jzfd/
颈椎分节异常	zhengzhuang/jzfjyc/
颈椎骨折脱位	zhengzhuang/jzgztw/
颈椎关节的根性疼痛	zhengzhuang/jzgjdgxtt/
颈椎间盘突出	zhengzhuang/jzjptc/
颈椎间盘退变	zhengzhuang/jzjptb/
颈椎痛	zhengzhuang/jzt/
颈椎退化	zhengzhuang/jzth/
颈椎增生	zhengzhuang/jzzs/
颈椎椎节已有明显退行性变	zhengzhuang/jzzjyymxtxxb/
胫骨粗隆肿胀	zhengzhuang/jgclzz/
胫骨干骨不连	zhengzhuang/jgggbl/
胫骨假关节形成	zhengzhuang/jgjgjxc/
胫骨结节处的酸痛，肿胀	zhengzhuang/jgjjcdst_zz/
胫骨疼痛	zhengzhuang/jgtt/
胫骨压痛	zhengzhuang/jgyt/
胫前和足部坚硬的非凹陷性水肿斑块	zhengzhuang/jqhzbjydfaxxszbk/
胫前黑斑	zhengzhuang/jqhb/
胫前指压性水肿	zhengzhuang/jqzyxsz/
痉挛性便秘	zhengzhuang/jlxbm/
痉挛性的肌张力增高	zhengzhuang/jlxdjzlzg/
痉挛性截瘫步态	zhengzhuang/jlxjtbt/
痉挛性截瘫期	zhengzhuang/jlxjtq/
痉挛性咳嗽	zhengzhuang/jlxks/
痉挛性偏瘫步态	zhengzhuang/jlxptbt/
痉挛性斜颈	zhengzhuang/jlxxj/
痉笑面容	zhengzhuang/jxmr_2136/
静脉侧支循环建立	zhengzhuang/jmczxhjl/
静脉出血	zhengzhuang/jmcx_2138/
静脉逗	zhengzhuang/jmd/
静脉回流障碍	zhengzhuang/jmhlza/
静脉内持续性血流	zhengzhuang/jmncxxxl/
静脉曲张	zhengzhuang/jmqz/
静脉曲张性溃疡	zhengzhuang/jmqzxky/
静脉曲张性外痔	zhengzhuang/jmqzxwz/
静脉栓塞	zhengzhuang/jmss_2145/
静脉萎陷	zhengzhuang/jmwx/
静脉血流滞缓	zhengzhuang/jmxlzh/
静脉血栓	zhengzhuang/jmxs/
静脉血氧饱和度（SVO2）降低	zhengzhuang/jmxybhd_svo2_jd/
静止性结石	zhengzhuang/jzxjs/
静止性震颤	zhengzhuang/jzxzc/
镜面舌	zhengzhuang/jms/
镜子征	zhengzhuang/jzz/
久病亏损	zhengzhuang/jbks/
久不消退的红色皮肤疤	zhengzhuang/jbxtdhspfb/
酒悖	zhengzhuang/jb/
酒后便血	zhengzhuang/jhbx/
酒后四肢酸痛	zhengzhuang/jhszst/
酒精成瘾	zhengzhuang/jjcy/
酒精过敏	zhengzhuang/jjgm/
酒精性肝硬化	zhengzhuang/jjxgyh/
酒精性幻觉症	zhengzhuang/jjxhjz/
酒精性胃黏膜损伤	zhengzhuang/jjxwnmss/
酒精性心肌	zhengzhuang/jjxxj/
酒精性震颤	zhengzhuang/jjxzc/
酒精依赖	zhengzhuang/jjyl/
酒精中毒性幻觉症	zhengzhuang/jjzdxhjz/
酒精中毒性嫉妒妄想	zhengzhuang/jjzdxjdwx/
酒精中毒性偏执状态	zhengzhuang/jjzdxpzzt/
酒糟鼻	zhengzhuang/jzb/
局部静脉压痛	zhengzhuang/jbjmyt/
局部静脉硬索状	zhengzhuang/jbjmysz/
局部可摸到肌腹与肌腱连接处略有缺失与下陷	zhengzhuang/jbkmdjfyjjljclyqsyxx/
局部淋巴结肿大	zhengzhuang/jblbjzd_2174/
局部皮肤变紧	zhengzhuang/jbpfbj/
局部软组织浸润	zhengzhuang/jbrzzjr/
局部头痛	zhengzhuang/jbtt_2177/
局部压痛	zhengzhuang/jbyt/
局部游走性红斑	zhengzhuang/jbyzxhb/
局部肢体抽动	zhengzhuang/jbztcd/
局部灼热	zhengzhuang/jbzr/
局限性肌张力障碍	zhengzhuang/jxxjzlza/
局限性肾坏死	zhengzhuang/jxxshs/
局灶症状	zhengzhuang/jzzz/
咀嚼肌肥大	zhengzhuang/jjjfd/
咀嚼肌痉挛	zhengzhuang/jjjjl/
沮丧	zhengzhuang/js_2187/
巨肠症	zhengzhuang/jcz/
巨大膀胱	zhengzhuang/jdbg/
