百日咳	brk/
先天性喉蹼	xtxhp/
先天性喉喘鸣	xtxhcm/
先天性鼻咽部狭窄及闭锁	xtxbybxzjbs/
先天性鼻部皮样囊肿及瘘管	xtxbbpynzjlg/
先天性喉闭锁	xtxhbs/
咽部异感症	ybygz/
硬脑膜外和硬脑膜下脓肿	ynmwhynmxnz/
咽血管畸形	yxgjx/
咽肌痉挛	yjjl/
咽后壁憩室	yhbqs/
咽鼓管阻塞	yggzs/
咽鼓管异常开放症	yggyckfz/
咽侧壁憩室	ycbqs/
咽部硬结病	ybyjb/
咽部异物	ybyw/
咽部麻风	ybmf/
咽部狼疮	yblc/
咽部创伤	ybcs/
咽部瘢痕狭窄	ybbhxz/
咽角化症	yjhz/
咽后脓肿	yhnz/
咽旁脓肿	ypnz/
咽白喉	ybh/
中耳气压伤	zeqys/
噪声性耳聋	zsxel/
中毒性眩晕	zdxxy/
扁平苔癣	bptx/
边缘性龈炎	byxyy/
变应性口炎	byxky/
唇裂	cl/
创伤性口炎	csxky_2951/
唇病	cb/
齿状突发育畸形	cztfyjx/
多形红斑	dxhb/
单纯性牙周炎	dcxyzy/
腭裂	el/
肥大性龈炎	fdxyy/
氟骨症	fgz/
氟牙症	fyz/
根尖周病	gjzb/
红斑	hb/
坏死性龈口炎	hsxyky/
颌面部放线菌病	hmbfxjb/
颌周蜂窝织炎	hzfwzy/
颌骨囊肿	hgnz/
后牙反合	hyfh/
颌骨癌	hga/
急性颌骨骨髓炎	jxhggsy/
甲状舌管囊肿与鳃裂囊肿	jzsgnzyslnz/
急性化脓性腮腺炎	jxhnxsxy/
颊间隙感染	jjxgr/
结核性溃疡	jhxky/
口底多间隙感染	kddjxgr/
口腔溃疡	kqky/
口腔扁平苔藓	kqbptx/
口腔单纯性疱疹	kqdcxpz/
口腔白斑病	kqbbb/
口腔念珠菌病	kqnzjb/
颏下间隙感染	kxjxgr/
眶下间隙感染	kxjxgr_2992/
开合	kh/
口腔颌面部皮样、表皮样囊肿	kqhmbpy_bpynz/
口腔颌面部软组织损伤	kqhmbrzzss/
膜性口炎	mxky/
磨损	ms/
毛舌	ms_3000/
慢性上颌窦炎	mxshdy/
慢性筛窦炎	mxsdy/
慢性化脓性腮腺炎	mxhnxsxy/
颞下颌关节紊乱综合征	nxhgjwlzhz/
颞下间隙感染	nxjxgr/
颞间隙感染	njxgr/
颞骨岩部炎	ngyby/
前牙反合	qyfh/
青少年牙周炎	qsnyzy/
龋齿	qc/
前牙深覆盖	qysfg/
舌甲状腺	sjzx/
舌白斑	sbb/
锁合	sh/
双颌前突	shqt/
深覆合	sfh/
舌下间隙感染	sxjxgr/
上颌前突	shqt_3027/
舌病	sb/
四环素牙	shsy/
上颌后缩	shhs/
天疱疮	tpc/
楔状缺损	xzqs/
下颌后缩	xhhs/
下颌下隙感染	xhxxgr/
牙周病	yzb/
牙周萎缩	yzws/
牙外伤	yws/
牙列拥挤	ylyj/
牙列稀疏	ylxs/
牙髓病	ysb/
颜面部疖痈	ymbjy/
牙隐裂	yyl/
牙折	yz/
遗传性乳光牙	ycxrgy/
药物性牙龈增生	ywxyyzs/
釉质发育不全	yzfybq/
牙齿感觉过敏症	ycgjgmz/
咬肌间隙感染	yjjxgr/
翼下颌间隙感染	yxhjxgr/
智齿冠周炎	zcgzy/
肝硬化男性性功能减弱综合征	gyhnxxgnjrzhz/
淋病合并症前列腺炎	lbhbzqlxy/
淋病合并症精囊炎	lbhbzjny/
良性前列腺增生	lxqlxzs/
慢性细菌性前列腺炎	mxxjxqlxy/
男性不育症	nxbyz/
男性更年期综合症	nxgnqzhz/
尿道与阴茎结核	ndyyjjh/
性欲亢进	xykj/
小阴茎	xyj/
阳痿	yw/
早泄	zx/
埃里希体病	alxtb/
艾滋病	azb/
病毒性肝炎	bdxgy/
包虫病	bcb_3114/
巴尔通体病	bettb/
布氏杆菌病	bsgjb/
布鲁菌病	bljb/
孢子丝菌病	bzsjb/
肠道蛔虫	cdhc/
传染性脓疱病	crxnpb/
传染性红斑	crxhb/
传染性软疣	crxry/
传染性单核细胞增多	crxdhxbzd/
传染性湿疹样皮炎	crxszypy/
单纯性疱疹	dcxpz/
带状疱疹	dzpz/
地方性斑疹伤寒	dfxbzsh/
登革热	dgr/
单纯疱疹病毒感染症	dcpzbdgrz/
丹毒丝菌病	ddsjb/
二期梅毒	eqmd/
放线菌病	fxjb/
副球孢子菌病	fqbzjb/
风疹	fz/
肺结核	fjh/
肺吸虫病	fxcb/
钩端螺旋体病	gdlxtb/
回归热	hgr/
混合性厌氧菌感染	hhxyyjgr/
黄热病	hrb/
黑热病	hrb_3163/
霍乱	hl_3165/
假单胞菌感染	jdbjgr/
姜片虫病	jpcb/
尖锐湿疣	jrsy/
柯萨奇病毒和埃可病毒感染	ksqbdhakbdgr/
狂犬病	kqb/
口蹄病	ktb/
淋病	lb/
利斯特菌病	lstjb/
类鼻疽	lbj/
流行性脑脊髓膜炎	lxxnjsmy/
流行性乙型脑炎	lxxyxny/
流行性斑疹伤寒	lxxbzsh/
莱姆病	lmb/
慢性腹泻	mxfx/
脑血吸虫病	nxxcb/
囊虫病	ncb_3214/
疟疾	nj/
诺卡放线菌病	nkfxjb/
皮肤念珠菌病	pfnzjb/
葡萄球菌感染	ptqjgr/
全身性念珠菌病	qsxnzjb/
潜伏梅毒	qfmd/
Q热	qr/
肉毒中毒	rdzd/
溶组织内阿米巴病	rzznambb/
软下疳	rxg/
生殖器疱疹	szqpz/
伤寒	sh_3237/
三期梅毒	sqmd/
丝虫病	scb/
伤寒与副伤寒	shyfsh/
水痘	sd/
鼠疫	sy_3246/
绦虫病	tcb/
天花	th/
炭疽病	tjb/
头癣	tx/
兔热病	trb/
弯曲菌感染	wqjgr/
弯曲菌性肠炎	wqjxcy/
先天性巨细胞包涵体病	xtxjxbbhtb/
血吸虫病	xxcb/
猩红热	xhr/
旋毛虫病	xmcb/
新疆出血热	xjcxr/
衣原体感染症	yytgrz/
厌氧菌感染	yyjgr/
隐球菌病	yqjb/
芽生菌病	ysjb/
异尖线吸虫蚴移行症	yjxxcyyxz/
阴虱病	ysb_3281/
一期梅毒	yqmd/
医院内感染	yyngr/
恙虫病	ycb/
羊痘	yd/
隐孢子虫病	ybzcb/
组织胞浆菌病	zzbjjb/
中间型链球菌感染	zjxlqjgr/
着色真菌病	zszjb/
足菌肿	zjz/
战壕热	zhr/
真菌过敏症	zjgmz/
自由生活阿米巴感染	zyshambgr/
志贺菌病	zhjb/
剥脱性皮炎型药疹	btxpyxyz/
扁平疣	bpy/
白癜风	bdf/
白发症	bfz/
斑秃	bt/
藏毛囊肿	cmnz/
痤疮	cc/
大疱性类天疱疮	dpxltpc/
丹毒	dd/
多形性日光疹	dxxrgz/
冻疮	dc/
鹅掌风	ezf/
蜂螫伤	fss_3332/
蜂窝织炎	fwzy/
痱子	fz_3334/
副牛痘	fnd/
光感型药疹	ggxyz/
固定性药疹	gdxyz/
花斑癣	hbx/
黄褐斑	hhb/
核黄素缺乏病	hhsqfb/
结核性苔藓	jhxtx/
急性脓肿	jxnz/
甲癣	jx_3349/
甲沟炎	jgy/
接触性皮炎	jcxpy/
疥疮	jc/
毛发红糠疹	mfhkz/
毛发上皮瘤	mfspl/
面部粟粒性狼疮	mbslxlc/
麻疹样红斑型药疹	mzyhbxyz/
玫瑰糠疹	mgkz/
毛囊炎	mny/
麻风病	mfb/
麻疹	mz/
女子颜面黑变病	nzymhbb/
脓肿	nz_3369/
脓疱疮	npc/
牛皮癣	npx/
皮样囊肿	pynz/
葡萄球菌性烫伤样皮肤综合征	ptqjxtsypfzhz/
疱疹样湿疹	pzysz/
全身化脓性感染	qshnxgr/
褥疮	rc/
神经性皮炎	sjxpy/
瘙痒症	syz/
晒伤	ss_3395/
手足癣	szx/
湿疹	sz/
深脓疱病	snpb/
色素性荨麻疹	ssxqmz/
秃头	tt_3406/
荨麻疹型药疹	qmzxyz/
荨麻疹和血管性水肿	qmzhxgxsz/
荨麻疹性血管炎	qmzxxgy/
荨麻疹	qmz/
银屑病	yxb/
药疹	yz_3418/
疣	y_3419/
原发性皮肤淀粉样变性	yfxpfdfybx/
痒疹	yz_3426/
硬红斑	yhb/
脂溢性皮炎	zyxpy/
职业黑变病	zyhbb/
中毒性坏死性表皮松解型药疹	zdxhsxbpsjxyz/
着色芽生菌病和暗色丝孢霉病	zsysjbhassbmb/
腹股沟肉芽肿	fggryz/
梅毒	md/
性病性淋巴肉芽肿	xbxlbryz/
阿尔采末病	aecmb/
阿斯伯格综合症	asbgzhz/
抽动障碍	cdza/
多发脑梗塞性精神障碍	dfngsxjsza/
癫痫伴发的精神障碍	dxbfdjsza/
儿童期精神障碍及精神发育迟缓	etqjszajjsfych/
反应性精神病	fyxjsb/
精神活性物质所致精神障碍	jshxwzszjsza/
急性应激反应	jxyjfy/
焦虑症	jlz/
记忆障碍	jyza/
精神发育迟滞	jsfycz/
精神分裂症	jsflz/
酒精所致精神障碍	jjszjsza/
甲状腺功能减退伴发的精神障碍	jzxgnjtbfdjsza/
恐缩症	ksz/
窥阴癖	kyp/
恐怖性焦虑障碍	kbxjlza/
恐怖症	kbz/
恋物癖	lwp/
露阴癖	lyp/
老年期抑郁障碍	lnqyyza/
脑外伤所致精神障碍	nwsszjsza/
偏执性精神障碍	pzxjsza/
气功所致精神障碍	qgszjsza/
情感障碍	qgza/
强迫症	qpz/
强迫性障碍	qpxza/
躯体疾病伴发的精神障碍	qtjbbfdjsza/
人格障碍	rgza/
神经发育迟滞	sjfycz/
失眠症	smz/
神经性厌食症	sjxysz/
嗜睡症	ssz_3486/
系统性红斑狼疮所致精神病	xtxhblcszjsb/
性障碍	xza/
性欲减退	xyjt/
遗忘综合征	ywzhz/
应激反应及适应障碍	yjfyjsyza/
抑郁症	yyz/
抑郁性神经症	yyxsjz/
异性装扮癖	yxzbp/
癔球症	yqz/
癔症	yz_3499/
疑病症	ybz/
谵妄综合征及有关疾病	zwzhzjygjb/
苯丙胺中毒	bbazd/
苯海拉明中毒	bhlmzd/
颠茄碱类植物药物中毒	dqjlzwywzd/
毒蛇咬伤	dsys/
对乙酰氨基酚中毒	dyxajfzd/
II型肾小管性酸中毒	iixsxgxszd/
高原适应不全症	gysybqz/
河豚毒素中毒	htdszd/
急性硫化氢中毒	jxlhqzd/
麻黄碱中毒	mhjzd/
马桑果中毒	msgzd/
曼陀罗中毒	mtlzd/
锰中毒	mzd/
灭虫灵中毒	mclzd/
木薯中毒	mszd/
慢性铅中毒	mxqzd/
棉子中毒	mzzd/
拟除虫菊类农药中毒	nccjlnyzd/
体温过低	twgd/
中暑痉挛	zsjl/
中毒性休克综合征	zdxxkzhz/
病毒性肺炎	bdxfy/
疱疹性咽峡炎	pzxyxy/
新生儿肺炎	xsefy/
煤气中毒	mqzd/
肺动静脉瘤	fdjml_3674/
胆囊息肉	dnxr/
放射病	fsb/
非酒精性脂肪肝病	fjjxzfgb/
壶腹周围癌	hfzwa/
黄曲霉素中毒	hqmszd/
十二指肠损伤	sezcss/
十二指肠淤积症	sezcyjz_3681/
特发性胃肠道嗜酸性细胞浸润综合征	tfxwcdssxxbjrzhz/
萎缩性胃炎	wsxwy/
挤压综合征	jyzhz/
尿毒症	ndz/
肾结石	sjs_3686/
肾移植	syz_3687/
先天性肾上腺皮质增生症	xtxssxpzzsz/
癫痫	dx/
多发梗塞性痴呆	dfgsxcd/
红斑性肢痛症	hbxztz/
进行性延髓麻痹	jxxysmb/
三叉神经痛	scsjt/
多毛症	dmz/
戈谢病	gxb_3695/
巨人症	jrz/
淋巴瘤	lbl/
慢性肾上腺皮质功能减退症	mxssxpzgnjtz/
糖原累积病	tyljb/
性早熟	xzs/
胰岛功能性β细胞瘤	ydgnxxbl/
急性骨髓性白血病	jxgsxbxb/
气性坏疽病	qxhjb/
纤维肌痛综合症	xwjtzhz/
弓形体脑病	gxtnb/
胶质细胞瘤	jzxbl/
眶脑膜瘤	knml/
脑瘤	nl_3708/
脑栓塞	nss/
小脑扁桃体下疝	xnbttxs/
输精管堵塞	sjgds/
睾丸下降不全	gwxjbq/
肛膜闭锁	gmbs_3713/
先天性肛门直肠狭窄	xtxgmzcxz/
肱骨外髁颈骨折	ggwkjgz_3715/
骨质增生	gzzs/
桡骨干下1/3骨折合并下尺桡关节脱位	rggx1_3gzhbxcrgjtw/
桡神经损伤	rsjss/
十字韧带损伤	szrdss/
手部肌腱损伤	sbjjss/
腕舟状骨骨折	wzzggz/
膝关节侧副韧带损伤	xgjcfrdss/
眼球穿孔伤	yqcks/
断肢再植	dzzz_3724/
腹壁切口疝	fbqks/
腹膜后脓肿	fmhnz/
腹腔脓肿	fqnz/
股疝	gs_3728/
慢性阑尾炎	mxlwy/
肛门周围癌	gmzwa/
黑色素瘤	hssl/
口腔癌	kqa/
腮腺混合瘤	sxhhl/
神经纤维瘤	sjxwl/
星形细胞瘤	xxxbl/
咽部乳头状瘤	ybrtzl/
眼内转移性肿瘤	ynzyxzl/
滴虫性外阴炎	dcxwyy_3738/
卵巢早衰	lczs/
细菌性阴道炎	xjxydy/
羊水过少	ysgs/
急性播散性脑脊髓炎	jxbsxnjsy/
巨大儿	jde/
尿布疹	nbz_3744/
手足口病	szkb/
小儿高热	xegr/
小儿急性阑尾炎	xejxlwy/
小儿惊厥	xejj/
支原体感染	zytgr/
红眼病	hyb/
急性泪腺炎	jxlxy/
色盲	sm/
鼻中隔脓肿	bzgnz/
耵聍栓塞	dnss/
耳聋	el_3755/
喉气管瘢痕性狭窄	hqgbhxxz/
甲状舌骨囊肿与瘘	jzsgnzyl/
慢性鼻炎	mxby/
慢性干燥性鼻炎	mxgzxby/
声带息肉	sdxr/
突发性耳聋	tfxel/
先天性耳聋	xtxel/
先天性喉裂	xtxhl/
咽部结核	ybjh/
咽旁间隙感染	ypjxgr/
咽异感症	yygz/
地图舌	dts/
颌下间隙感染	hxjxgr/
舌下腺囊肿	sxxnz/
包茎过长	bjgc/
包皮过长	bpgc/
不射精症	bsjz/
睾丸炎	gwy_3773/
精囊炎	jny/
男性生殖器畸形	nxszqjx/
男性生殖器外伤	nxszqws/
少精子症	sjzz/
死精症	sjz_3778/
无精症	wjz/
阴囊湿疹	ynsz/
肝吸虫病	gxcb_3781/
巨细胞病毒感染	jxbbdgr/
森林脑炎	slny/
瘢痕疙瘩	bhgd/
剥脱性角质松解症	btxjzsjz/
虫咬皮炎	cypy/
单纯糠疹	dckz/
多汗症	dhz/
红皮病	hpb/
灰指甲	hzj/
肌注硬结感染	jzyjgr/
激素依赖性皮炎	jsylxpy/
急性蜂窝组织炎	jxfwzzy/
甲营养不良	jyybl/
脚气	jq/
结节性红斑	jjxhb/
立克次体病	lkctb/
连续性肢端皮炎	lxxzdpy/
人蠕形螨病	rrxmb/
色素紫癜性皮炎	sszdxpy/
手足皲裂	szjl/
太田痣	ttz/
脱发	tf_3803/
药物性皮炎	ywxpy/
腋臭	yc/
异位性皮炎	ywxpy_3806/
疣状表皮发育不良	yzbpfybl/
鱼鳞病	ylb/
跖疣	zy/
性高潮障碍	xgcza/
分裂情感性精神病	flqgxjsb/
甲状腺功能亢进伴发的精神障碍	jzxgnkjbfdjsza/
旅途精神病	ltjsb/
神经性贪食症	sjxtsz/
妄想症	wxz/
性兴奋障碍	xxfza/
性冷淡	xld/
谵妄综合征	zwzhz/
中暑	zs/
甲型H1N1流感(猪流感)	jxh1n1lg_zlg_/
鼻/鼻型T/NK细胞淋巴瘤	b_bxt_nkxblbl/
大咯血	dkx/
单纯性肺嗜酸性粒细胞浸润症	dcxfssxlxbjrz/
感染性腹主动脉瘤	grxfzdml/
弯曲菌肠炎	wqjcy/
新生儿中毒性红斑	xsezdxhb/
小儿多发性内分泌腺瘤Ⅱ型	xedfxnfmxl_x/
小儿肥胖通气不良综合征	xefptqblzhz/
心源性休克	xyxxk/
氨基酸代谢病	ajsdxb/
B链球菌群感染	blqjqgr/
巴斯德菌肺炎	bsdjfy/
半月板损伤	bybss/
扁平苔藓	bptx_3834/
便血	bx/
肠病原性大肠埃希杆菌感染	cbyxdcaxgjgr/
肠气囊肿	cqnz/
肠侵袭性大肠埃希杆菌感染	cqxxdcaxgjgr/
肠系膜上动脉综合征	cxmsdmzhz/
肠系膜上动脉血栓形成	cxmsdmxsxc/
大网膜粘连综合征	dwmzlzhz/
第一掌骨基部骨折	dyzgjbgz/
多发性一过性白点综合征	dfxygxbdzhz/
小儿热带嗜酸性粒细胞增多症	xerdssxlxbzdz/
常现丝虫病	cxscb/
膀胱鳞状细胞癌	bglzxba/
丛状血管瘤	czxgl/
多发性硬化伴发的葡萄膜炎	dfxyhbfdptmy/
多发内生软骨瘤病	dfnsrglb/
大肠埃希杆菌肺炎	dcaxgjfy/
单纯性乳腺增生症	dcxrxzsz/
低血糖综合征	dxtzhz/
盖氏骨折	gsgz/
慢性淋巴细胞白血病	mxlbxbbxb/
白细胞葡萄糖-6-磷酸脱氢酶缺乏症	bxbptt_6_lstqmqfz/
白塞病伴发的精神障碍	bsbbfdjsza/
迟发性皮肤卟啉病	cfxpfblb/
淀粉样变病的胃肠道表现	dfybbdwcdbx/
高尿酸血症肾病	gnsxzsb/
食物过敏性哮喘	swgmxxc/
薄肾小球基底膜病	bsxqjdmb/
创伤性心源性溶血性贫血	csxxyxrxxpx/
短膜壳绦虫病	dmktcb/
胆石性肠梗阻	dsxcgz/
穿透性角膜移植术所致青光眼	ctxjmyzsszqgy/
腹股沟直疝	fggzs/
髌腱断裂	bjdl/
髌骨不稳定	bgbwd/
鼻红粒病	bhlb/
尺桡骨骨干双骨折	crgggsgz/
成人T细胞白血病	crtxbbxb/
创伤窒息综合征	cszxzhz/
尺管综合征	cgzhz/
对苯二胺皮炎	dbeapy/
点状内层脉络膜病变	dzncmlmbb/
单侧肾缺如	dcsqr/
骶尾部畸胎瘤	dwbjtl/
脊柱脊髓伤	jzjss/
泄殖腔外翻	xzqwf/
先天性毛细血管扩张性大理石样皮肤	xtxmxxgkzxdlsypf/
先天性高位肩胛	xtxgwjj/
先天自愈性朗格汉斯组织细胞增生症	xtzyxlghszzxbzsz/
先天性结肠狭窄和闭锁	xtxjcxzhbs/
鼻窦鳞状细胞癌的眼部病变	bdlzxbadybbb/
创伤性气管及主支气管损伤	csxqgjzzqgss/
创伤性膈疝	csxgs/
冻伤	ds/
败血症	bxz/
痴呆	cd/
单发性毛鞘瘤	dfxmql/
高免疫球蛋白E综合征	gmyqdbezhz/
汞皮炎	gpy/
持续性枕后位难产	cxxzhwnc/
支原体尿路感染	zytnlgr/
伴有脂肪瘤样痣的褶皱皮肤	byzflyzdzzpf/
玻璃纤维引起的皮肤病	blxwyqdpfb/
玻璃体积血	bltjx/
爆裂性眼眶骨折	blxykgz/
大疱性表皮松解	dpxbpsj/
鼻孢子虫病	bbzcb/
白喉性心肌炎	bhxxjy/
全面性发作	qmxfz/
灼痛	zt/
双胎妊娠	strs/
舌骨骨折	sggz_3905/
不随意运动	bsyyd/
巴雷特食管	bltsg/
丹吉尔病	djeb/
单纯疱疹	dcpz/
大网膜囊肿	dwmnz_3910/
藏毛性疾病	cmxjb/
抽搐与惊厥	ccyjj/
路易体痴呆	lytcd/
额颞痴呆	encd/
盆底综合征	pdzhz/
脱发性毛囊炎	tfxmny/
丑胎	ct/
多发脑梗死性痴呆	dfngsxcd/
焦油性黑变病	jyxhbb/
继发性白血病	jfxbxb/
口臭	kc/
脑型肺吸虫病	nxfxcb/
神经根型颈椎病	sjgxjzb/
神经性厌食症与神经性贪食症	sjxyszysjxtsz/
微病毒B19感染性风湿病	wbdb19grxfsb/
胸、腰椎爆裂骨折	x_yzblgz/
毒性结节性甲状腺肿	dxjjxjzxz/
钝挫伤	dcs/
分裂情感性障碍	flqgxza/
多肌腱末端病	djjmdb/
多毛状小阴唇	dmzxyc/
多重肺部感染	dzfbgr/
恶性雀斑样痣	exqbyz/
恶性小汗腺汗孔瘤	exxhxhkl/
鄂木斯克出血热	emskcxr/
颚口线虫病	ekxcb/
耳鼻咽喉创伤	ebyhcs/
分水岭区脑梗死	fslqngs/
二糖酶缺乏症	etmqfz/
Fuchs角膜内皮营养不良	fuchsjmnpyybl/
反应性组织细胞增多症	fyxzzxbzdz/
非淋球菌性细菌性关节炎	flqjxxjxgjy/
非特异性系统性坏死性小血管炎	ftyxxtxhsxxxgy/
肥大性骨关节病	fdxggjb/
粉刺样痣	fcyz/
风湿病性贫血	fsbxpx/
腹壁纤维肉瘤	fbxwrl/
腹部大血管损伤	fbdxgss/
腹膜后纤维化	fmhxwh/
腹膜转移癌	fmzya/
腹腔肺吸虫病	fqfxcb/
高胡萝卜素血症	ghlbsxz/
革兰阳性球菌和革兰阴性杆菌性巩膜炎	glyxqjhglyxgjxgmy/
格斯特曼综合征	gstmzhz/
跟骨骨骺骨软骨病	ggghgrgb/
更年期角化症	gnqjhz/
肱骨上端骨骺分离	ggsdghfl/
阿米巴痢疾	amblj/
股骨髁上骨折	ggksgz_3959/
股骨头骨折	ggtgz/
股骨转子间骨折	ggzzjgz/
股神经干性痛	gsjgxt/
骨产道异常性难产	gcdycxnc/
骨恶性淋巴瘤	gexlbl/
骨骺点状发育不良	ghdzfybl/
骨良性纤维组织细胞瘤	glxxwzzxbl/
骨膜软骨瘤	gmrgl/
骨纤维肉瘤	gxwrl/
骨纤维异样增殖症	gxwyyzzz/
骨血管内皮细胞瘤	gxgnpxbl/
固定性斜视	gdxxs/
腘血管陷迫综合征	gxgxpzhz/
寒冷性红斑	hlxhb/
汗孔角化病	hkjhb/
黑布拉痒疹	hblyz/
红细胞生成性卟啉病	hxbscxblb/
虹膜黑色素瘤	hmhssl/
喉气管食管裂	hqgsgl/
后葡萄膜炎	hptmy/
厚皮性骨膜病	hpxgmb/
呼吸肌疲劳症	hxjplz/
忽略症	hlz/
滑石粉尘肺	hsfcf/
化学液体吸入	hxytxr/
踝关节软骨损伤	hgjrgss/
坏疽性脓皮症	hjxnpz/
寰枢椎脱位	hsztw/
寰椎沟环畸形	hzghjx/
埃莱尔-当洛综合征	ale_dlzhz/
会阴疝	hys/
惠普尔病	hpeb/
火激红斑	hjhb/
获得性循环抗凝物质增多症	hdxxhknwzzdz/
肌肉肌腱单位的急性损伤	jrjjdwdjxss/
肌张力障碍综合征	jzlzazhz/
积乳囊肿	jrnz/
基底细胞癌	jdxba/
吉特林综合征	jtlzhz/
急性横贯性脊髓炎	jxhgxjsy/
急性化脓性脑膜炎	jxhnxnmy/
急性化脓性胃炎	jxhnxwy/
急性酒中毒	jxjzd/
急性粒细胞缺乏	jxlxbqf/
急性淋巴细胞白血病	jxlbxbbxb/
急性咽炎	jxyy/
急性硬脑膜下血肿	jxynmxxz/
脊髓分裂症	jsflz_4007/
脊椎化脓性骨髓炎	jzhnxgsy/
假麦格综合征	jmgzhz/
假性肠梗阻	jxcgz/
肩峰下滑囊炎	jfxhny/
肩关节周围炎	jgjzwy/
肩锁关节脱位	jsgjtw/
埃可病毒疹	akbdz/
腱病	jb/
浆细胞白血病	jxbbxb/
浆细胞性唇炎	jxbxcy/
胶样粟丘疹	jysqz/
角膜基质炎	jmjzy/
结缔组织痣	jdzzz/
结节性甲状腺肿	jjxjzxz/
进行性核上性麻痹	jxxhsxmb/
晶状体蛋白过敏性青光眼	jztdbgmxqgy/
精索恶性肿瘤	jsexzl/
颈部火器性异物	jbhqxyw/
颈淋巴结结核	jlbjjh/
颈椎半椎体畸形	jzbztjx/
颈椎间盘突出症	jzjptcz/
颈椎椎管狭窄症	jzzgxzz/
胫骨平台骨折	jgptgz/
胫前黏液水肿	jqnysz/
静脉曲张综合征	jmqzzhz/
局限性胸膜间皮瘤	jxxxmjpl/
巨细胞病毒性肺炎	jxbbdxfy/
Kartagener综合征	kartagenerzhz/
开放性气胸	kfxqx/
埃博拉病毒病	ablbdb/
堪萨斯分枝杆菌感染	kssfzgjgr/
口周皮炎	kzpy/
库鲁病	klb/
髋臼骨折	kjgz/
眶内海绵状血管瘤	knhmzxgl/
溃疡分枝杆菌感染	kyfzgjgr/
莱姆病性巩膜炎	lmbxgmy/
老年期抑郁症	lnqyyz/
老年性昏迷	lnxhm/
老人腹股沟斜疝	lrfggxs/
泪囊炎	lny/
泪腺肉样瘤病	lxrylb/
里尔黑变病	lehbb/
立克次体痘	lkctd/
利斯特菌脑膜炎	lstjnmy/
门静脉高压	mjmgy/
镰状细胞贫血	lzxbpx/
链杆菌病	lgjb/
良性淋巴上皮病	lxlbspb/
颅底凹陷症	ldaxz/
颅骨骨折	lggz_4058/
颅骨纤维异常增生症	lgxwyczsz/
颅内低压综合征	lndyzhz/
颅内高压综合征	lngyzhz/
颅中窝脑膜瘤	lzwnml/
旅行者腹泻	lxzfx/
Marie-Bamberger综合征	marie_bambergerzhz/
麻痹性肠梗阻	mbxcgz/
麻风	mf/
麦收皮炎	mspy/
脉络膜缺血	mlmqx/
脉络膜转移癌	mlmzya/
慢性化脓性胸膜炎	mxhnxxmy/
慢性进行性眼外肌麻痹	mxjxxywjmb/
慢性乳头状溃疡性脓皮病	mxrtzkyxnpb/
慢性硬脑膜下血肿	mxynmxxz/
慢性自律性房性心动过速	mxzlxfxxdgs/
毛发腺瘤	mfxl/
门静脉海绵样变	mjmhmyb/
迷走神经损伤	mzsjss/
面肌瘫痪	mjth/
面瘫	mt/
埃及血吸虫病	ajxxcb/
拇指掌指关节尺侧侧副韧带损伤	mzzzgjcccfrdss/
内生性软骨瘤	nsxrgl/
内脏动脉慢性闭塞	nzdmmxbs/
奈瑟卡他球菌肺炎	nsktqjfy/
男性乳腺癌	nxrxa/
男性生殖系结核	nxszxjh/
男性特纳综合征	nxtnzhz/
男子乳腺发育	nzrxfy/
脑室内脑膜瘤	nsnnml/
脑外伤伴发的精神障碍	nwsbfdjsza/
年龄相关性白内障	nlxgxbnz/
尿道癌	nda/
镍及其化合物引起的皮肤病	njqhhwyqdpfb/
牛带绦虫病	ndtcb/
脓毒性休克	ndxxk/
脓疱性细菌疹	npxxjz/
诺瓦克病毒性胃肠炎	nwkbdxwcy/
膀胱尿道异物	bgndyw/
膀胱腺癌	bgxa/
反应性关节炎	fyxgjy/
疱疹样脓疱病	pzynpb/
皮肤平滑肌瘤	pfphjl/
皮炎芽生菌	pyysj/
皮脂囊肿病	pznzb/
皮脂腺上皮瘤	pzxspl/
脾脏原发性恶性肿瘤	pzyfxexzl/
偏执状态	pzzt/
平滑肌错构瘤	phjcgl/
匍行性血管瘤	pxxxgl/
葡萄球菌肺炎	ptqjfy/
葡萄球菌性食物中毒	ptqjxswzd/
葡萄球菌中毒性休克综合征	ptqjzdxxkzhz/
Q热肺炎	qrfy/
脐尿管瘘	qngl/
脐膨出	qpc/
脐膨出-巨舌-巨体综合征	qpc_js_jtzhz/
髂腹股沟神经干痛	qfggsjgt/
前房积血与青光眼	qfjxyqgy/
前庭神经元炎	qtsjyy/
轻链病与轻链沉积病	qlbyqlcjb/
嵌杯样病毒胃肠炎	qbybdwcy/
强直性脊柱炎及其伴发的葡萄膜炎	qzxjzyjqbfdptmy/
切口疝	qks/
青霉病	qmb/
大汗腺癌	dhxa/
球形肺炎	qxfy/
屈光参差	qgcc/
躯体感觉障碍	qtgjza/
躯体形式障碍	qtxsza/
醛固酮缺乏症	qgtqfz/
纤维化综合征	xwhzhz/
Rh血型不合	rhxxbh/
人工关节置换术后关节感染	rggjzhshgjgr/
人乳头瘤病毒感染	rrtlbdgr/
融合性网状乳头瘤病	rhxwzrtlb/
乳房猪囊尾蚴病	rfznwyb/
乳糜腹	rmf/
乳头皲裂	rtjl/
乳头状小汗腺腺瘤	rtzxhxxl/
乳腺湿疹样癌	rxszya/
乳腺脂肪肉瘤	rxzfrl/
